Id,Job Posting Title,Job Description,Primary Recruiter,Hiring Manager,Division,Job Family Group,Job Family,Job Profile,Region,Country,Primary Location,Date First Posted,Salary,inflation_rate,unemployment_rate,Time to fill
242,Senior Product Software Engineer/ Backend,"About the role:As a senior backend engineer, you will provide technical insight and contribute to the architectural evolution of the server-side of our software. You will be part of our technical lead community, sharing knowledge and expertise with the team. You will be working closely with our CTO and backend architect, discussing design decisions, the overall architecture and long term technical goals and vision.Challenges await you as an expert and contributor to a fairly large and mature application in constant evolution and mutation. You will have a direct and major impact on our code-base and turn new and customer-facing features into a reality. We really enjoy working together at finsit, we have fun and help each other grow in every way we can. You get the feeling of a startup company but with all the benefits that comes with being part of a global corporation. finsit provides a great environment for developing and sharing software engineering experience, as well as career growth. The candidate:
You have several years of experience in web application development and server-side technologies, following industry best practices.
You have a deep understanding of Object-oriented best practices and patterns.
You are a curious and enthusiastic individual, looking for new challenges.
You are passionate about code quality and building quality software.
You have a deep understanding of Object-oriented best practices and patterns.
Experience with NoSQL databases such as MongoDB or CouchDB is a plus.
Experience with C# and .NET is a plus.
You like to work as part of a team.
Qualifications:
Broad experience in web application development.
A degree in computer science, or equivalent experience.
Experience working with peers, providing and receiving code reviews.
Great communication skills, both oral and written.
Benefits:
Competitive salary
Great working environment
Family friendly
About finsit:finsit was originally founded in 2005 in Sweden and became part of the Wolters Kluwer family of products in 2019. Since it's inception, finsit has been solely focused on building, improving and refining a single web application to transform accounting data into stylish visual reports. With a team of 16 spread in Sweden, France and Spain, finsit delivers its product in Sweden, Norway, Denmark and recently the United Kingdom. finsit is in the middle of an exciting journey as we launch finsit in more countries",106,938,7,Technology,Software Engineering - Products,318,EMEA,Spain,ESP-Barcelona-Av. Carrilet,2021-04-16 00:00:00,6,2.229122,15.5,309
243,Senior Product Manager,"Do you want to take responsibility for developing and managing product roadmaps within an international environment? Wolters Kluwer is looking for a Senior Product Manager for the International Group (KLI). The Senior Product Manager is responsible for developing and managing product roadmaps across a portfolio of products and collaborating with cross functional teams to deliver solutions, drive revenues and profitability. Does this sound interesting to you? Continue reading and learn more about the role and what we have to offer to you as an employer!Tasks and responsibilities
The tasks and responsibilities of a Product Manager at Wolters Kluwer are:
Developing product roadmaps for portfolio of products or market segments that support business strategy and market position goals;
Developing intimate understanding of customers and problems/needs;
Generating viable new product concepts/ideas and business cases;
Marshalling approved product development projects through the definition, development, testing and pre-launch phases to create prototypes and functional specifications and requirements for the product using Agile product development methodologies.
Ensuring a successful product launch by managing the go-to-market strategy: collaborating with sales and marketing teams, developing value propositions, pricing and target customer groups etc.
Conducting ongoing in-depth research and analysis on assigned portfolio/market segment; You understand how products and services fit into customer processes and contribute to their business performance; assessing product strengths and weaknesses relative to the competition; understanding the drivers of purchase, retention and customer satisfaction; collaborating with sales to understand obstacles and opportunities in the market; and obtaining and synthesizing strategic information critical to the market (e.g., regulatory changes, technology trends, financial requirements); Undertakes the regular analysis of usage statistics for strategic decision-making.
Maximizing the business goals of assigned portfolio/products by collaborating with sales and marketing to ensure that appropriate sales and marketing efforts are undertaken to meet targets;
Supporting the identification and management of potential strategic and commercial partner relationships for the business.
Making contributions to the overall product strategy for the business unit. 

Your profileEducation: 
Bachelor’s Degree, MBA preferred.
Experience: 
At least 5 years of product management experience (in the legal sector is preferred);
Development and launch of new and existing digital product lines
Demonstrated success running a product line P&L
Experience of working on agile projects and working iteratively – in collaboration with developers, UX and designers, as well as publishing, sales and marketing teams
Experience of analyzing metrics to assess performance and drive decision-making
Experience of working in cross functional teams and managing multiple stakeholders
Competent in using Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) 

Travel requirements: International travel for customer visits, beta site visits, sales support, and other travel as required. Travel is irregular in frequency and can occur at short notice.

We offer
We are a fast growing, financially healthy and listed organization. You will be part of a diverse, global workforce and join the International Group at Wolters Kluwer’s global head office in Alphen aan den Rijn.We offer a competitive salary and with a job of 36 hours per week, a good work life balance. Furthermore, a laptop, smartphone, generous contribution to your pension, outstanding international career opportunities and a commitment to invest in your personal development are also part of the package.In addition to this we have a yearly sports day, a spectacular end of year party, free fruit and most of all, a great environment with fun and professional colleagues!We are very proud to have been recognized as Dutch Top Employer for the fifth consecutive year.For more information about Wolters Kluwer, have a look at our website: https://wolterskluwer.com/",88,398,6,Product Management,Non-Technology Product Management,308,EMEA,Netherlands,NLD-Alphen Aan Den Rijn-Zuidpoolsingel,2019-11-29 00:00:00,6,2.555972,4.5,172
244,IT Support Specialist,"Job Description Summary 
Requires in-depth conceptual and practical technical knowledge of customer service with a focus on technology practices and systems. Works independently with minimal guidance. Understands key business drivers and builds knowledge of the company, processes, and customers. Contributes to technology related activities of post-sale technical support services to customers, including installation, troubleshooting, problem resolution and maintenance of products and services. Performs a range of technical assignments and solves moderately complex problems under guidance of established policies and procedures.  Contributes to delivery of team goals through personal efforts or through influence over team members. 

Key Responsibilities 
Provide a high level of technical support and assistance for Wolters Kluwer customers and consultants using in-depth knowledge of technical customer service 
Solve complex technical problems; exercise judgment based on the analysis of multiple sources of information 
Analyze technical questions or reproduce technical problems and provide or develop appropriate solutions related to supported applications/functionality, may lead projects or may have accountability for ongoing activities 
Liaise with internal escalation, development, and functional teams for issue resolution, explain difficult or sensitive information, work to build consensus 

Key Requirements 
Education: Bachelor’s Degree in Computer Science or equivalent or relevant experience.
5+ years’ experience in a B2B technical customer service or implementation role 
In-depth knowledge of, or experience with cloud computing platforms such as Azure, Google Cloud, and AWS 
Experience supporting JAVA based applications and services 
In-depth hands-on experience utilizing Application Performance Monitoring tools such as Dynatrace, AppDynamics, New Relic or equivalent. 
Experience in analyzing performance metrics as produced by LoadRunner, Apache JMeter 
In-depth knowledge of enterprise level database technologies such as Microsoft SQL Server, Oracle 
Assist Support Leads in developing effective and efficient troubleshooting and fault isolation methodologies  
Work with Product Development and Dev Ops Teams and introduce requirements which will result in enhanced support capabilities and efficient fault isolation and recovery. 
Participate in reviews and provide feedback on Requirements, Design Documents and Specifications for products and Services from a technical production support perspective. 
Participate in Process improvement efforts within the DXG Support community. Lead teams in trouble shooting and diagnosis of high impact issues i.e. revenue impacting 

The above statements are intended to describe the general nature and level of work performed by employees assigned to this job. They are not intended to be an exhaustive list of all duties, responsibilities, and qualifications as these may vary depending on location and line of business. The specific requirements may differ due to local or regional differences. 
#LI-Remote",114,612,1,Customer Service,Customer Service - Technical,130,Americas,United States of America,USA-IN-Indianapolis-Woodfield Crossing Blvd,2022-01-18 00:00:00,6,7.479873,4,327
245,Senior Software Engineer,"Qualifications/Requirements:

Bachelor's or Master’s Degree in computer science or related discipline

7-12 years of professional software development experience (no publication industry experience required)

Extensive experience in problem solving, development and software design.

Proficiency in Core Java, J2EE, Spring, Sprint boot, Tomcat/Weblogic.

Experience in Development of Microservice and/or AWS-serverless implementation using Java/JVM based languages

Confident in Middle-tier or back end portions of the software

Computer Science fundamentals - Data Structure, Algorithms, OOP techniques and designs patterns

Multi-threaded Programming

Solution Design experience, SOA. Should be able to produce software design with guidance from Architect.

In-depth knowledge of database technologies (Oracle/My SQL)

Exposure in Test Driven Development (TDD) and a keen focus on unit testing and code coverage

NoSQL (nice to have)

Knowledge of DevOps principles and tools like Configuration as code, Jenkins, Chef, Puppet, etc. (nice to have)

Excellent interpersonal and communication skills

Experience of working as a part of Agile (SCRUM) team, which is distributed in US, Eastern Europe, and India.

Growth Qualities 

Ability to mentor junior team members

Recommend technology direction

Be able to standardize standards and best practices


This individual will need to be a well-rounded engineer experienced in n-tier web application development.  He/she needs to work well in teams and also independently when required.",152,4,1,Technology,Software Engineering - Products,318,APAC,India,IND-Pune-Kalyani Nagar,2022-02-01 00:00:00,6,5.042017,8.1,353
246,Product Software Engineer,"Position Summary
With minimum 3yrs of exp.Under direct supervision, assists in designing, developing, testing, debugging and implementing application components, software tools, and utilities required for the operation, maintenance, and control of computer systems. Assists in modifying existing software to fit specialized needs and configurations and maintains program libraries and technical documentation.
Must have:
Proficient with C#, .Net Framework, PowerShell and Visual Studio
Proficient with ASP.NET and Web API
Experience in designing API’s and understanding how API shape impacts usability and user experience.
Experience in code refactoring, quality improvement, and performance optimization
Knowledge of multi-threading, scalability, performance, and application security
Knowledge of SQL Server 2014/2017 database concepts
Strong understanding and experience HTML5, CSS ,JSON and JS libraries
Knowledge of Azure infrastructure and architecture

Nice to have:
Experience with .Net Core
Experience with software development best practices like test-driven development.

Essential Duties and Responsibilities:
Develop and deploy application to Azure using Azure DevOps and Azure PaaS. 
Contribute in necessary Architecture documentation, participate in gate review to include Infrastructure, security and performance. 
Ensure that deliverables are self-certified prior to transitioning to the downstream consumers of the deliverable (QA and customers). 
Any other duties as assigned by the Manager",198,1209,7,Technology,Software Engineering - Products,316,APAC,India,IND-Pune-IndiQube Orchid,2021-06-04 00:00:00,5,5.577841,9.3,374
247,(Senior) Field Sales Representative - Software voor de juridische wereld,"Overzicht van de functie
Wolters Kluwer is op zoek naar een uitbreiding van het internationale Legal Software Sales team met een (Senior) Field Sales Representative.
Sluit je bij ons aan in de snel veranderende wereld van juridische technologie en lever state-of-the-art oplossingen aan toonaangevende juridische dienstverleners en juridische afdelingen van grotere bedrijven.
Werk samen met een internationaal klantenportfolio om te begrijpen hoe zij het beste waarde kunnen leveren aan hun organisatie met behulp van moderne legal-tech platformoplossingen. Ondersteun ons bij het ontwikkelen van een actieve en betrokken klantengemeenschap.

Verantwoordelijk voor het opbouwen en onderhouden van effectieve lange termijnrelaties en een hoge mate van tevredenheid met besluitvormers en beïnvloeders bij een toegewezen groep (internationale) klantaccounts. Verantwoordelijk voor het ontwikkelen en implementeren van een uitgebreid verkoopplan met nieuwe en bestaande verkoopstrategieën voor kleine tot grote accounts. Onderhouden van post-sales contact met grote of strategische klanten om een ??positieve en productieve lange termijnrelatie te faciliteren.

Belangrijkste verantwoordelijkheden
Ontwikkel en onderhoud een salespipeline van kansen om verkoopdoelstellingen te bereiken via prospecting en accountbeheer

Ontwikkel een verkoopstrategie voor toegewezen accounts en beheer deals met succes tijdens de verkoopcyclus

Communiceer met Nederlandse en internationale klanten met betrekking tot eventuele accountproblemen en bespreek de zorgen en suggesties van klanten

Onderhandel over service-/productvoorwaarden met klanten in overeenstemming met richtlijnen

Rapporteer suggesties en ontwikkel oplossingen met het verkoop en klantenondersteuningsteam

add-ons-verkopen voor klanten

Indien nodig reizen naar en bijwonen van conferenties, evenementen en klantbijeenkomsten


Belangrijkste vereisten

Bachelor's Degree of gelijkwaardige relevante ervaring

5+ jaar werkzaam in Account Management of Sales of een andere gelijkwaardige ervaring

Track record voor het leveren van een niveau van deskundige kennis binnen je branche

Uitstekende communicatieve (zowel schriftelijk als mondeling) en presentatievaardigheden.

Nederlands als moedertaal en goede kennis van de Engelse taal, zowel geschreven als gesproken

In staat om eigen territorium/accounts te beheren

Ons aanbod
Een uitdagende functie binnen een snelgroeiend softwarebedrijf

Ondersteuning van je persoonlijke ontwikkeling door middel van on-the-job en formele training, gestructureerde prestatie- en beloningsprocessen en state-of-the-art people management-praktijken

Competitief salarispakket

Kans om deel uit te maken van een succesvol team in de opwindende wereld van juridische technologie

Elke week online bootcamp lessen

Interesse?
Dan solliciteer - simpelweg door te klikken op de knop solliciteren!

Vragen?
Contactpersoon
Herbert Bakels
Senior International Recruiter
E herbert.bakels@wolterskluwer.com 
M +31 6 10021644",66,38,6,Sales,Field Sales,175,EMEA,Netherlands,NLD-Amsterdam-Jollemanhof,2022-01-19 00:00:00,6,6.42074,3.6,109
248,Senior Product Software Engineer,"Technical Experience:
C#/.NET, ASP.NET, .NET Core
HTML5, CSS, JSON and JS libraries
Experience in Angular 8+, Bootstrap
Developing web applications with great usability and user experience.
MS SQL Server, Visual Studio 2017-2019, Azure DevOps in an Agile environment
MS Azure
REST Services, Web API, gRPC
Experience in Agile Methodologies/Scrum, Test Driven Development (TDD) & Unit Testing.
Design Patterns

Experience
6-8 years of experience
Understanding of and experience with an agile SDLC
Experience in managing and maintaining environment for the product- repository and versioning, build management and deployments.
Experience in product release cycle, best practices, code reviews and defect management. Efficient in handling changes and enhancements.
Strong knowledge of multi-threading and application clustering, scalability, performance, application security, code analysis and optimization.
Good database concepts and hands on in design and development.
Experience in localization and globalization, security, performance, integration with third party components and applications.
Ensure best design practices and processes are followed for continuous improvement of product.

Essential Duties and Responsibilities
Generate innovative approaches and solutions to complex issues.
Evaluate new development tools and drive their implementation within our development teams.
Mentor less-experienced staff by providing daily guidance and direction.
Conduct technical research regarding different ways to improve our development environment and best practices.
Develop and deploy application to Azure using Azure DevOps and Azure PaaS. 
Contribute in necessary Architecture documentation, participate in gate review to include Infrastructure, security and performance. 
Ensure that deliverables are self-certified prior to transitioning to the downstream consumers of the deliverable (QA and customers). 
Any other duties as assigned by the Manager",202,441,7,Technology,Software Engineering - Products,318,APAC,India,IND-Pune-IndiQube Orchid,2021-12-16 00:00:00,6,5.555555,6,242
249,Product Marketing Specialist,"We are searching for a Product Marketing Specialist to join our team. This person can be fully remote or choose to work out of our Waltham office.

This incumbent in this position serves as a true “market advocate” and product expert for within the Individual segment. S/he, develops a deep understanding of individual segment needs, shares this information with the Individual and relevant functional teams, including product management, product marketing, editorial and training, advocates to ensure product strategies and positioning meet these needs, and works with the Individual team to ensure marketing efforts are effective in optimizing product revenue.

Key Responsibilities:

Develops thorough understanding of and communicates critical market-related information such as customer needs, competitive threats, product trends and opportunities to the Individual and relevant functional teams. 
Shares Individual audience needs with product management, product marketing, editorial, and training teams and works with these teams to ensure that products and product positioning are developed to meet these needs.
Develops a sound understanding of existing and new products/product features relevant to the individual segment.
Supports the Individual team in aligning appropriate product offerings to customer sub-segments.
Contributes to core positioning and messaging for relevant products to be used by the individual segment in email marketing, print collateral, direct mail, digital campaigns and both marketing and eCommerce websites.

Job Qualifications:

Education

Bachelor’s degree in Marketing, Business, or related area or equivalent

Experience: 

2-5 years of experience in marketing, with at least 2 in product marketing.
Other Knowledge, Skills, Abilities or Certifications: 
Required:
Demonstrated experience in product marketing
Strong analytical skills
Excellent verbal and written communication skills
Proficiency in Microsoft Office tools, including Excel, Word and PowerPoint
Preferred:
Physician/healthcare market experience
Experience in international marketing

Travel requirements:
Up to 15% Travel",40,197,5,Marketing,Product Marketing,313,Americas,United States of America,USA-MA-Waltham-Third Ave,2022-02-14 00:00:00,5,7.871064,3.8,77
250,Lead Product Software Engineer - Dotnet,"Do you like leading teams to success? Does writing software to continue to reliably work against failures motivate you? When you see something broken, do you have the urge to fix it? Do you like beautiful architecture and code, believe engineering is a craft and your code is a work of art? Are you not afraid to speak your mind and are always seeking how to work better? Do you love squeezing performance out of your code? Are you fervent about having completely automated, zero touch software deployments with zero downtime?
If this sounds like you, this is the role for you.
Qualifications:
Must have:
Strong troubleshooting skills across network, application, hardware, and service layers
Strong analytical, problem solving, and communication skills
Proficient with C#, .Net Framework, PowerShell and Visual Studio
Proficient with ASP.NET, WPF, WCF, and Web API
Strong experience with design patterns, especially cloud resiliency patterns
Strong experience in code refactoring, quality improvement, and performance optimization
Strong knowledge of multi-threading, scalability, performance, application security
Strong knowledge of SQL Server 2014/2017 database concepts
Experience automating build and release pipelines
Experience with Windows Server and IIS internals and administration
Experience working in an agile environment with an agile SDLC like Scrum, SaFE, etc.
Experience leading teams thru product release cycle, including code reviews, defect triage, and change management.
Experience leading change to adopt software best practices like test-driven development.

Nice to have
Experience with .Net Core
Knowledge of networking patterns for cloud-hosted services
Knowledge of Azure infrastructure and architecture
Knowledge of HTML5, CSS, JavaScript, Angular, and Bootstrap

Essential Duties and Responsibilities
Collaborate with architects and development teams to define, review and refactor Azure IaaS/PaaS cloud services for high availability, resiliency, scalability, security, and optimal performance to meet service level objectives.
Troubleshoot and determine root cause of complex cross product issues and identify action items to drive increased reliability.
Guide team thru refactoring to drive higher code quality.
Identify and implement technical standards and practices within the team, including, but not limited to test driven development, good branch management, and pair programming.
Automate deployments, scaling, and other operational tasks to be as boring as possible.
Mentor team members to help them reach their full technical potential and new levels.
Identify gaps in technology, practices, and processes and recommend improvements.
Relentlessly document your implementation, patterns, practices, and processes. You will drive documentation over tribal knowledge.
Ensure deliverables are self-certified prior to delivery to consumers.",195,913,7,Technology,Software Engineering - Products,319,APAC,India,IND-Pune-IndiQube Orchid,2021-02-09 00:00:00,7,4.494493,5.3,123
251,Customer Support Account Manager,"Requires in-depth conceptual and practical technical knowledge of customer service with a focus on technology practices and systems. Works independently with minimal guidance. Understands key business drivers and builds knowledge of the company, processes and customers. Contributes to technology related activities of post-sale technical support services to customers, including installation, troubleshooting, problem resolution and maintenance of products and services. Performs a range of technical assignments and solves moderately complex problems under guidance of established policies and procedures.  Contributes to delivery of team goals through personal efforts or through influence over team members.

•Provide a high level of technical support and assistance for Wolters Kluwer customers and consultants using in-depth knowledge of technical customer service•Solve complex technical problems; exercise judgment based on the analysis of multiple sources of information•Analyze technical questions or reproduce technical problems and provide or develop appropriate solutions related to supported applications/functionality, may lead projects or may have accountability for ongoing activities•Liaise with internal escalation, development and functional teams for issue resolution, explain difficult or sensitive information, work to build consensusKey Requirements
•Bachelor’s Degree or equivalent relevant experience•5+ years’ experience in a B2B technical customer service or implementation role•In-depth knowledge of, or experience with cloud computing platforms such as Azure, Google Cloud, and AWS•In-depth knowledge of database technologies such as Microsoft SQL Server or Oracle•The above statements are intended to describe the general nature and level of work performed by employees assigned to this job. They are not intended to be an exhaustive list of all duties, responsibilities, and qualifications as these may vary depending on location and line of business. The specific requirements may differ due to local or regional differences.",54,118,6,Customer Service,Customer Service - Technical,130,EMEA,Netherlands,NLD-The Hague-Lange Vijverberg,2022-01-26 00:00:00,6,6.42074,3.6,105
252,Senior Product Software Engineer,"Senior Product Software Developer(T3)
Position Summary
Wolters Kluwer Financial and Compliance Services (Pune) have a need for a Lead Product developer for our Pune Global In-house center (GIC). Broad expectations from this role are as follows:
Technical Experience:
C#/.NET, ASP.NET, .net core 3.x,   MVC, MVVM,
REST Services, WebAPI
SQL, Visual Studio 2017-2019, Azure DevOps in an Agile environment
Strong understanding and experience HTML5, CSS ,JSON and JS libraries
Experience in Angular 8+, Bootstrap
Experience in Agile Methodologies/Scrum, Test Driven Development (TDD) & Unit Testing.
Experience
Understanding of and experience with an agile SDLC
Understanding of and experience in Responsive Design.
Experience in managing and maintaining environment for the product- repository and versioning, build management and deployments.
Experience in product release cycle, best practices, code reviews and defect management. Efficient in handling changes and enhancements.
Strong knowledge of multi-threading and application clustering, scalability, performance, application security, code analysis and optimization.
Good database concepts and hands on in design and development.
Experience in localization and globalization, security, performance, integration with third party components and applications.
Ensure best design practices and processes are followed for continuous improvement of product.

Essential Duties and Responsibilities
Work with Architect to define the design of the product
Conduct Code Reviews, analyze issues identified by Static analysis tools and triage those
Collaborate with DevOps team for troubleshooting deployment issues, if any
Develop and deploy application to Azure using Azure DevOps and Azure PaaS. 
Ccontribute to necessary Architecture documentation, participate in gate review to include Infrastructure, security and performance. 
Ensure that deliverables are self-certified prior to transitioning to the downstream consumers of the deliverable (QA and customers).",202,665,7,Technology,Software Engineering - Products,318,APAC,India,IND-Coimbatore -IndiQube Echo Point,2021-02-01 00:00:00,6,4.494493,5.3,522
253,Product Software Engineer,"Product Software Engineer will be responsible to:

Remit

Development and release of Scandinavian hybrid and pure cloud products

Reviewing code


The following mandatory skill set is required for the engineer:

.NET core including ASP.Net

Experience in development of WPF applications

HTML/CSS and exposure to at least one JavaScript framework

Cloud-based development (primarily Azure)

Writing Unit Tests

Use of Mocking Frameworks

Consuming web based services


Other, “nice to have” skills include:

Front-end development using Angular

Azure services including Service Bus, App Services and Azure Functions.


Other Important Skills:
 Solution Design, follow Code review practices, Application Architecture",44,1281,7,Technology,Software Engineering - Products,316,APAC,India,IND-Pune-IndiQube Orchid,2021-01-12 00:00:00,5,3.162966,5.5,96
254,Responsable Commercial H/F,"Wolters Kluwer France est un leader des contenus (marques Lamy, Liaisons Sociales et Les Echos Formation), logiciels & services juridiques, filiale du groupe Wolters Kluwer. Des milliers de professionnels du droit, du chiffre et des RH utilisent nos solutions quotidiennement.

Dans le cadre d’un remplacement, nous recherchons :
Un(e) Responsable Commercial, qui participera à la croissance, au développement et à la fidélisation d’un portefeuille de clients professionnels pour notre marque Les Echos Formation.

Pour ce faire vos missions seront :
· Le développement d’un portefeuille de clients existants
· La réalisation des rendez-vous de découverte des besoins
· L’audit et l’analyse des besoins de formation spécifiques des clients,
· La rédaction de propositions sur-mesure en partenariat avec les équipes pédagogiques
· La réalisation et la négociation de propositions commerciales,
· La réponse aux appels d’offres en lien avec les équipes projet et la soutenance des projets.

Parallèlement, vous entretenez et développez un réseau d’interlocuteurs externes (formateurs, experts,…). Ce poste vous amènera à travailler en transversal avec tous les services du pôle (équipes projet, service conférences, logistique,…).

Le Profil idéal :
Diplômé(e) d’une école de commerce ou équivalent, vous avez une expérience d’au moins 2 ans, acquise impérativement dans le secteur des services intellectuels.
Doté(e) d’une bonne communication orale et écrite, vous savez vous adapter aux différents interlocuteurs en interne comme en externe, et savez faire preuve de souplesse dans vos réalisations.
Organisé(e), rigoureux(euse) et à l’écoute de vos interlocuteurs, vous avez un bon sens commercial et une bonne capacité rédactionnelle.
Créatif(ve) et innovant(e), vous avez à cœur d’apporter de la valeur ajoutée aux clients.
Vous avez un très bon esprit d’équipe, êtes synthétique et savez travailler de façon autonome sur vos dossiers.
Vous maîtrisez le pack office.

Poste à pourvoir en CDI dès que possible à Saint-Ouen (93) : métro 14 ou RER C (arrêt St-Ouen).",12,832,6,Sales,Sales/Business Development,361,EMEA,France,FRA-Saint-Ouen-Rue Emmy Noether,2022-02-04 00:00:00,6,3.633942,7.3,223
255,Senior Technology Implementation Consultant,"Job Description:
The Technical Implementation Consultant role is within APAC’s Professional Services unit. The overarching objective of Professional Services is to successfully deliver quality and cost effective professional services to our clients. This means, supporting the implementation of the organisation’s Compliance reporting solutions effectively and efficiently at customer sites.All Professional Services Consultants are expected to successfully implement OneSumX Regulatory solutions in the APAC Region. Specifically, Consultants are required to support/complete the tasks outlined below.
Education
Bachelor degree in Computer Science, Computer Engineering, or related field

Job responsibilities:
5+ years experience IFRS9 OR Accounting OR General Ledger OR Core Banking Or Regulatory reporting project Or Risk management solutions implementations in capacity of Technical Consultant
Demonstrated hands-on RDBMS experience SQL Server.
Good Understanding of software development lifecycle (SDLC)
Experience in Data Warehousing and Business Intelligence (DW/BI) project implementations
Good understanding of On-line Transaction Processing (OLTP) systems (Core Banking, Treasury Systems etc.)
Good understanding of BI and Reporting Systems
Good understanding of Extract, Transform and Load (ETL) Development
Demonstrated experience in customer facing roles
Fluency in English, written and oral
Overall experience of 5+ years

Personal qualifications
Excellent communication (written and oral) and interpersonal skills
Excellent client management and engagement skills
Responsible, methodical and organised
High level of integrity and takes accountability
Self-learner
Assertive, being able to make expert decisions based on personal judgement
Ability to work independently while also being a good team player 
Ability to work in a cross cultural environment
Full availability to travel within the Asia Pacific area",147,335,4,Consulting/Professional Services,Technology Implementation Consulting,398,APAC,India,IND-Mumbai-Marol,2020-10-14 00:00:00,6,5.902163,6.2,305
256,Lead Technology Product Manager - Norway,"The Product Manager is a key role at Wolters Kluwer and will have overall accountability and decision-making responsibility as products are developed. He or she will intimately understand the customers and potential customers as well as the broader industry. Identify and resolve impediments. Works with limited supervision with latitude for independent judgment. 
The Product Manager is a member of a Scandinavian Product ManagementTeam of 6 who are working closely with products specialists, software development, the local business and other stakeholders to execute our ambitious cloud product strategy. 
The product manager is expected to take a strong position in the team working with the Work space services (data driven advisory services) for Tax advisors – across Scandinavia.
 
Product Management Lead role:?

Act as primary connection point between country & Product Management?

Head the local product plans, strategy and prioritizations in close collaboration with the country organisation??s

Product Management lead will handle country products along with selected cross Scandinavian portfolio areas ?

Part of the local Norwegian management team

Explore business development in dedicated areas/domains in the Wolters Kluwer model portfolio from a Scandinavian perspective?

Prepare business cases for decisions engaging with stakeholders across countries and functions?

Take responsibility for assigned partner products & partnerships?

Support marketing, sales & customer success in Go to market & onboarding/support?


Requirements:

Experienced product manager with a solid business understanding and relevant experience from within a software company. 

Good industry knowledge within accounting & tax advisors combined with a strong knowledge of the areas of Practice management and advisory services. 

Good knowledge from both a technical and development perspective as well as collaboration with larger clients for business development.  

Experience of working agile within the Safe agile development framework would be beneficial. 

As a person you are curious and like to collaborate in an environment with many stakeholders both within Scandinavia and Europe. 

Travelling within Scandinavia will be an important prerequisite to be successful in the position.",57,981,7,Product Management,Technology Product Management,404,EMEA,Norway,NOR-Oslo-Oestensjoeveien 14,2021-11-30 00:00:00,7,5.071174,3.8,309
257,Senior Application & Product Architect - Performance Test Engineering,"Technical Experience:
Experience and Knowledge of performance testing and analytical tools
Experience and knowledge with Cloud Infrastructure – particularly Azure
Experience on product testing in Agile environment; should know the various stages of product release
Experience in SQL Server
Experience on various test techniques and appropriate applicability/implementation
Proficient in C# and OOPs and Advance programing skills
Excellent problem-solving and analytical skills and ability to translate business and technical requirements into workable Performance testing approach
Good understanding of architecture with focus on performance: caching strategies, synchronous vs asynchronous approaches, throughput vs latency
Strong understanding of risk management techniques and ability to develop appropriate contingency plans
Strong time management skills and excellent organizational skills with ability to juggle multiple demands without missing deadlines
Experience on various monitoring tools, corelating and analyzing test results to logical conclusions
Contribution to design and implementation of framework(s)
Good communication skills and attitude

Experience
8-15 years of total experience in Performance testing

Essential Duties and Responsibilities
Identify/validate test objectives and define test approach for its implementation to align tests by interpreting business requirements.
Workload modelling by analyzing various types of production logs to drive minimum 80% application coverage
Research, recommend and implement a technical testing strategy that significantly reduces the testing time while providing a clear assessment of the risk to the enterprise
Technical troubleshooting and guidance to peers and juniors.
Mentor and guide team for new technologies, troubleshooting and analysis
Able to articulate, flag and communicate risk to the business.
Review test results and establish hypothesis to draw conclusions by providing in-depth result interpretation.
Stakeholder collaboration and communication.
Forecast application changes that affect scalability and capacity of production systems and suggest remediation steps.
Create scalability & capacity models for applications that will or cannot be performance tested
Should drive in designing, optimizing and maintaining Testing framework that improves in performance testing strategies
Review proposed changes to production, both application and systems, to help determine level of risk and whether performance specific validation should be done prior to implementation
Execute the tests in multiple environments as per the plan if required
Support lead in achieving testing deliverables in technical areas of analysis, review and technical assistance
Log and track defects, support triage",175,1091,7,Technology,Performance Test Engineering - Products,298,APAC,India,IND-Pune-IndiQube Orchid,2021-06-09 00:00:00,6,5.577841,9.3,384
258,Senior Inside Sales Representative,"Wolters Kluwer is a global leader in professional information services. Professionals in the areas of legal, business, tax, accounting, finance, audit, risk, compliance and healthcare rely on Wolters Kluwer's market leading information-enabled tools and software solutions to manage their business efficiently, deliver results to their clients, and succeed in an ever more dynamic world. Wolters Kluwer combines deep domain knowledge with specialized technology. Our portfolio offers software tools coupled with content and services that customers need to make decisions with confidence. Every day, our customers make critical decisions to help save lives, improve the way we do business, build better judicial and regulatory systems. We help them get it right.

 Responsibilities: 
Drive profitable sales growth to new customers within a designated territory by meeting or exceeding sales goals
Learn and stay current on our comprehensive line of products and services
Prospect for new clients and follow a methodical sales process
Conduct business to business follow-up and closing
Contribute to sales planning and forecasting activities

Qualifications:
A minimum of two years of inside sales or lead generation experience
Bachelor’s degree from an accredited college/university or equivalent work experience
Experience creating and executing daily sales plans; including management and communication of sales pipeline to achieve sales goals
Proficient with Microsoft Office Suite applications including Word, Excel, PowerPoint and Outlook
Experience with Salesforce.com or similar CRM
Ability to work flexible hours",14,1199,7,Sales,Inside Sales,221,Americas,United States of America,USA-TX-Coppell-Rombauer Rd,2019-12-09 00:00:00,3,2.28513,3.6,148
